epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4162,3.57768,7.297,2.76479,0.00289,0.14444,0.00057,0.00016,2.20053,4.95184,1.81434,6e-05,6e-05,6e-05
2,26.8719,3.23339,5.01991,2.43192,0.10561,0.25556,0.06815,0.02748,2.00231,4.49808,1.69339,0.000137228,0.000137228,0.000137228
3,38.5774,2.73471,3.62997,2.02904,0.3083,0.5,0.24345,0.09737,1.86646,10.0324,1.63181,0.000211288,0.000211288,0.000211288
4,68.0688,2.34484,2.83314,1.80753,0.14523,0.44444,0.14915,0.05166,1.9408,6.07654,1.59527,0.00028218,0.00028218,0.00028218
5,91.2416,2.32794,3.11083,1.72944,0.30076,0.26667,0.18905,0.04803,1.96139,4.63705,1.53297,0.000349904,0.000349904,0.000349904
6,103.55,2.05879,2.97616,1.48598,0.25713,0.28462,0.22037,0.07127,1.93089,6.00436,1.50828,0.00041446,0.00041446,0.00041446
7,115.369,1.91615,2.65959,1.42438,0.02232,0.05556,0.02282,0.00831,1.96276,5.29141,1.55499,0.000475848,0.000475848,0.000475848
8,161.545,2.03575,2.72521,1.48796,0.07087,0.22222,0.03225,0.01148,2.03048,3.26869,1.52932,0.000534068,0.000534068,0.000534068
9,175.349,1.97224,2.5455,1.40906,0.09661,0.14444,0.05449,0.01879,2.05587,3.15477,1.49215,0.00058912,0.00058912,0.00058912
10,188.222,1.98612,2.49352,1.46347,0.11283,0.3,0.07671,0.02509,2.07577,2.93805,1.50648,0.000641004,0.000641004,0.000641004
11,200.71,1.80075,2.18374,1.42685,0.04813,0.22222,0.04097,0.01488,2.01472,3.05321,1.5962,0.00068972,0.00068972,0.00068972
12,212.264,1.78708,2.02086,1.42321,0.08284,0.3,0.06028,0.02248,2.06579,2.69856,1.62825,0.000735268,0.000735268,0.000735268
13,223.976,1.87865,2.0376,1.52664,0.0503,0.36667,0.03708,0.01426,1.947,2.82167,1.53585,0.000777648,0.000777648,0.000777648
