epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0719,3.47961,7.37537,2.70367,0.00178,0.08889,0.00025,9e-05,2.23139,5.04968,1.81928,6e-05,6e-05,6e-05
2,25.7785,3.16259,5.01833,2.44896,0.06155,0.35556,0.06373,0.02955,1.98659,5.21747,1.68078,0.000137228,0.000137228,0.000137228
3,37.8949,2.7081,3.69858,2.04365,0.32062,0.38889,0.23809,0.10999,1.93978,13.3972,1.62045,0.000211288,0.000211288,0.000211288
4,54.868,2.32915,2.85318,1.83401,0.279,0.32222,0.25458,0.08756,2.01279,5.88991,1.58583,0.00028218,0.00028218,0.00028218
5,84.1143,2.2974,3.10607,1.78153,0.19121,0.3,0.11463,0.04654,2.15505,4.8022,1.55692,0.000349904,0.000349904,0.000349904
6,99.0995,2.01423,3.06628,1.50471,0.17258,0.50058,0.17507,0.07645,2.07409,6.00733,1.46868,0.00041446,0.00041446,0.00041446
7,119.102,2.09884,2.65746,1.49421,0.18903,0.22222,0.10469,0.0396,2.16659,3.41035,1.4038,0.000475848,0.000475848,0.000475848
8,138.153,2.13467,2.6145,1.55005,0.13118,0.23333,0.08642,0.03114,2.21547,3.14081,1.35936,0.000534068,0.000534068,0.000534068
9,150.995,2.13428,2.4409,1.48453,0.11932,0.17778,0.08744,0.02705,2.27844,3.05514,1.40292,0.00058912,0.00058912,0.00058912
10,169.819,2.11759,2.66347,1.48949,0.09603,0.14444,0.06846,0.0202,2.347,3.10873,1.44763,0.000641004,0.000641004,0.000641004
11,191.389,1.9067,2.26,1.41465,0.21815,0.16667,0.09087,0.03346,2.11092,2.85539,1.4002,0.00068972,0.00068972,0.00068972
12,203.704,1.76612,2.1819,1.32928,0.18124,0.24444,0.12578,0.0511,2.1271,2.79393,1.46118,0.000735268,0.000735268,0.000735268
13,215.673,1.93827,2.12888,1.45057,0.23418,0.35556,0.18556,0.07077,2.12975,2.66428,1.51064,0.000777648,0.000777648,0.000777648
